id,difficulty,uniqueness,goal words,valid words,total words, cells, hint
1,438.0,0.0,6,33,33,56,directions: E W  -- 
2,444.0,0.0,6,37,37,8,directions: E W N S  -- 
3,447.5,0.5475,5,18,28,49,directions: E W  -- These words are all: nouns. -- 
4,447.5,0.0,5,43,43,42,directions: E W  -- 
5,448.5,0.0,5,42,42,16,directions: E W N S  -- 
6,451.0,0.0,6,46,46,81,directions: E W  -- 
7,452.0,0.0,6,45,45,16,directions: E W N S  -- 
8,456.5,0.0,5,50,50,27,directions: E W N S  -- 
9,458.0,0.0,5,31,36,72,directions: N S  -- Words with at least 3 letters. -- 
10,458.5,0.0,5,52,52,70,directions: E W N S  -- 
11,458.5,0.5363636363636364,6,24,39,18,directions: E W N S  -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
12,458.5,0.6304159445407279,6,16,51,49,directions: E W  -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
13,459.5,0.0,9,53,53,54,directions: E W  -- 
14,460.0,0.5304083405734145,5,23,44,70,directions: E W N S  -- These words are all: nouns. -- 
15,460.5,0.0,7,53,53,21,directions: E W N S  -- 
16,460.5,0.0,5,50,50,18,inside -- 
17,462.0,0.0,6,55,55,21,directions: E W N S  -- 
18,463.5,0.0,5,57,57,21,directions: E W N S  -- 
19,464.5,0.0,7,53,53,18,inside -- 
20,466.0,0.6455160744500846,6,17,61,60,directions: E W N S  -- OMG,these are: verbs -- 
21,466.0,0.0,8,58,58,24,directions: E W N S  -- 
22,466.0,0.0,6,59,59,21,directions: E W N S  -- 
23,466.5,0.0,9,58,58,27,directions: E W N S  -- 
24,467.5,0.0,7,60,60,24,directions: E W N S  -- 
25,467.5,0.0,7,56,56,18,inside -- 
26,468.0,0.0,8,60,60,24,directions: E W N S  -- 
27,468.0,0.545297670405522,8,31,53,48,directions: E W  -- These words are all: nouns. -- 
28,468.5,0.0,9,60,60,70,directions: E W N S  -- 
29,471.0,0.6432246998284734,5,16,77,64,directions: E W  -- OMG,these are: verbs -- 
30,471.5,0.0,5,61,61,9,inside -- 
31,471.5,0.6455160744500846,8,21,66,28,directions: E W N S  -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
32,472.0,0.0,6,61,61,12,inside -- 
33,473.0,0.0,6,66,66,32,directions: E W N S  -- 
34,473.5,0.0,7,66,66,36,directions: E W N S  -- 
35,474.0,0.6491688538932633,7,18,75,42,directions: E W N S  -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
36,474.0,0.5363636363636364,8,31,61,21,directions: E W N S  -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
37,474.0,0.0,6,67,67,84,directions: E W N S  -- 
38,474.5,0.0,7,67,67,36,directions: E W N S  -- 
39,474.5,0.0,9,68,68,63,directions: E W  -- 
40,474.5,0.0,6,44,51,24,directions: E W N S  -- Your words my be not longer than dis many fingers: 4. -- 
