id, difficulty,uniqueness,rules,goal words,valid words,total words, cells, hint
1,1355.0,0.4393939393939394,1,199,932,1491,64,inside+wrap -- OMG, ends with a letter from: consonants -- 
2,1264.5,0.0,1,230,890,1321,48,inside+wrap -- You don't need a sweater but you do need words with at least 5 letters. -- 
3,1252.0,0.5196428571428572,1,236,590,1590,56,inside+wrap -- OMG,these are: nouns -- 
4,1241.0,0.19877675840978593,1,158,768,1468,56,inside+wrap -- From 4-5 letters. -- 
5,1237.0,0.5196428571428572,1,241,624,1521,64,inside+wrap -- These words are all: nouns. -- 
6,1142.0,0.5962230215827338,1,183,310,1703,64,inside+wrap -- These words are all: verbs. -- 
7,1134.0,0.5962230215827338,2,120,190,1830,64,inside+wrap -- Your words my be not longer than dis many fingers: 4. -- OMG,these are: verbs -- 
8,1132.5,0.19877675840978593,1,157,709,1311,56,inside+wrap -- 4-5 many letters, so little time. -- 
9,1121.0,1.0852166276346604,3,26,83,1965,56,inside+wrap -- You don't need a sweater but you do need words with at least 4 letters. -- OMG, ends with a letter from: lisa -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
10,1117.5,0.5620915032679739,1,60,441,1646,49,inside+wrap -- These words seem to start with... vowels. -- 
11,1103.0,0.7184196155526431,2,153,345,1580,64,inside+wrap -- From 4-5 letters. -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
12,1075.5,0.5,2,44,227,1752,49,inside+wrap -- Your words my be not longer than dis many fingers: 5. -- These words seem to end with the letters... minos. -- 
13,1066.0,0.5196428571428572,1,209,508,1327,48,inside+wrap -- OMG,these are: nouns -- 
14,1039.0,0.5962230215827338,1,165,292,1533,49,inside+wrap -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
15,1012.0,0.5104895104895105,1,83,391,1462,64,inside+wrap -- Ends with a letter from mike -- 
16,1002.5,0.0,1,171,732,1014,48,inside+wrap -- Your words my be not longer than dis many fingers: 5. -- 
17,1002.5,0.0,1,172,623,1122,49,inside+wrap -- Your words my be not longer than dis many fingers: 4. -- 
18,995.5,1.718419615552643,4,9,28,1746,56,inside+wrap -- 4-5 many letters, so little time. -- All these words have something in common. I think t and e. sry typo -- Ends with a letter from potato -- OMG,these are: nouns -- 
19,983.5,1.1067125320722444,3,9,15,1775,64,inside+wrap -- It may seem like this hint isn't useful. But i promise at least 3 times it is. -- OMG, ends with a letter from: mike -- OMG,these are: verbs -- 
20,971.0,0.0,1,92,282,1480,64,inside+wrap -- It may seem like this hint isn't useful. But i promise at least 3 times it is. -- 
21,947.5,0.5196428571428572,1,184,457,1166,48,inside+wrap -- OMG,these are: nouns -- 
22,935.0,0.4393939393939394,2,133,488,1121,56,inside+wrap -- You don't need a sweater but you do need words with at least 5 letters. -- Ends with a letter from consonants -- 
23,932.5,0.0,1,197,712,900,64,inside -- Your words my be not longer than dis many fingers: 5. -- 
24,930.5,0.5196428571428572,1,178,450,1145,56,inside+wrap -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
25,925.0,0.4393939393939394,1,143,616,1003,64,inside+wrap -- These words seem to end with the letters... consonants. -- 
26,909.0,0.19072164948453607,1,93,374,1263,49,inside+wrap -- No more no less than the best which is 4. -- 
27,908.0,0.7949997799925197,2,97,161,1430,64,inside+wrap -- 4-5 many letters, so little time. -- These words are all: verbs. -- 
